<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,26/09/18,11:28,115920.0000000,115940.0000000,115910.0000000,115930.0000000,62
SPFB.RTS-12.18,1,26/09/18,11:29,115930.0000000,115930.0000000,115870.0000000,115890.0000000,162
SPFB.RTS-12.18,1,26/09/18,11:30,115880.0000000,115960.0000000,115880.0000000,115940.0000000,146
SPFB.RTS-12.18,1,26/09/18,11:31,115950.0000000,115960.0000000,115890.0000000,115900.0000000,105
SPFB.RTS-12.18,1,26/09/18,11:32,115910.0000000,115920.0000000,115880.0000000,115880.0000000,54
SPFB.RTS-12.18,1,26/09/18,11:33,115880.0000000,115890.0000000,115840.0000000,115880.0000000,269
SPFB.RTS-12.18,1,26/09/18,11:34,115880.0000000,115910.0000000,115870.0000000,115870.0000000,104
SPFB.RTS-12.18,1,26/09/18,11:35,115890.0000000,115900.0000000,115870.0000000,115870.0000000,31
SPFB.RTS-12.18,1,26/09/18,11:36,115880.0000000,115880.0000000,115820.0000000,115830.0000000,243
SPFB.RTS-12.18,1,26/09/18,11:37,115820.0000000,115830.0000000,115720.0000000,115790.0000000,1627
SPFB.RTS-12.18,1,26/09/18,11:38,115780.0000000,115820.0000000,115750.0000000,115790.0000000,823
SPFB.RTS-12.18,1,26/09/18,11:39,115800.0000000,115810.0000000,115760.0000000,115780.0000000,245
SPFB.RTS-12.18,1,26/09/18,11:40,115790.0000000,115800.0000000,115750.0000000,115770.0000000,160
SPFB.RTS-12.18,1,26/09/18,11:41,115770.0000000,115830.0000000,115770.0000000,115790.0000000,264
SPFB.RTS-12.18,1,26/09/18,11:42,115790.0000000,115790.0000000,115750.0000000,115770.0000000,184
SPFB.RTS-12.18,1,26/09/18,11:43,115770.0000000,115790.0000000,115760.0000000,115760.0000000,98
SPFB.RTS-12.18,1,26/09/18,11:44,115760.0000000,115800.0000000,115700.0000000,115770.0000000,670
SPFB.RTS-12.18,1,26/09/18,11:45,115770.0000000,115770.0000000,115740.0000000,115760.0000000,143
SPFB.RTS-12.18,1,26/09/18,11:46,115750.0000000,115800.0000000,115740.0000000,115770.0000000,477
SPFB.RTS-12.18,1,26/09/18,11:47,115770.0000000,115770.0000000,115650.0000000,115700.0000000,1017
SPFB.RTS-12.18,1,26/09/18,11:48,115700.0000000,115700.0000000,115600.0000000,115630.0000000,1232
SPFB.RTS-12.18,1,26/09/18,11:49,115640.0000000,115650.0000000,115350.0000000,115400.0000000,3859
SPFB.RTS-12.18,1,26/09/18,11:50,115390.0000000,115430.0000000,115350.0000000,115400.0000000,1488
SPFB.RTS-12.18,1,26/09/18,11:51,115390.0000000,115420.0000000,115330.0000000,115390.0000000,1893
SPFB.RTS-12.18,1,26/09/18,11:52,115390.0000000,115430.0000000,115370.0000000,115430.0000000,943
SPFB.RTS-12.18,1,26/09/18,11:53,115420.0000000,115460.0000000,115380.0000000,115380.0000000,832
SPFB.RTS-12.18,1,26/09/18,11:54,115400.0000000,115410.0000000,115370.0000000,115400.0000000,961
SPFB.RTS-12.18,1,26/09/18,11:55,115390.0000000,115390.0000000,115210.0000000,115210.0000000,3004
SPFB.RTS-12.18,1,26/09/18,11:56,115200.0000000,115250.0000000,115080.0000000,115200.0000000,4132
SPFB.RTS-12.18,1,26/09/18,11:57,115210.0000000,115240.0000000,115180.0000000,115240.0000000,845
SPFB.RTS-12.18,1,26/09/18,11:58,115230.0000000,115270.0000000,115200.0000000,115270.0000000,662
SPFB.RTS-12.18,1,26/09/18,11:59,115270.0000000,115270.0000000,115200.0000000,115230.0000000,829
SPFB.RTS-12.18,1,26/09/18,12:00,115220.0000000,115270.0000000,115210.0000000,115250.0000000,970
SPFB.RTS-12.18,1,26/09/18,12:01,115240.0000000,115270.0000000,115200.0000000,115210.0000000,1047
SPFB.RTS-12.18,1,26/09/18,12:02,115220.0000000,115250.0000000,115180.0000000,115230.0000000,779
SPFB.RTS-12.18,1,26/09/18,12:03,115230.0000000,115240.0000000,115160.0000000,115180.0000000,972
SPFB.RTS-12.18,1,26/09/18,12:04,115190.0000000,115200.0000000,115140.0000000,115170.0000000,1155
SPFB.RTS-12.18,1,26/09/18,12:05,115160.0000000,115210.0000000,115130.0000000,115140.0000000,959
SPFB.RTS-12.18,1,26/09/18,12:06,115130.0000000,115130.0000000,114870.0000000,114990.0000000,4540
SPFB.RTS-12.18,1,26/09/18,12:07,115000.0000000,115030.0000000,114970.0000000,114990.0000000,694
SPFB.RTS-12.18,1,26/09/18,12:08,115000.0000000,115060.0000000,115000.0000000,115060.0000000,413
SPFB.RTS-12.18,1,26/09/18,12:09,115060.0000000,115060.0000000,114990.0000000,115030.0000000,460
SPFB.RTS-12.18,1,26/09/18,12:10,115030.0000000,115080.0000000,114990.0000000,115080.0000000,616
SPFB.RTS-12.18,1,26/09/18,12:11,115080.0000000,115080.0000000,115010.0000000,115010.0000000,824
SPFB.RTS-12.18,1,26/09/18,12:12,115010.0000000,115090.0000000,115000.0000000,115060.0000000,1214
SPFB.RTS-12.18,1,26/09/18,12:13,115060.0000000,115110.0000000,115050.0000000,115110.0000000,581
SPFB.RTS-12.18,1,26/09/18,12:14,115110.0000000,115150.0000000,115060.0000000,115080.0000000,1035
SPFB.RTS-12.18,1,26/09/18,12:15,115090.0000000,115110.0000000,115060.0000000,115080.0000000,149
SPFB.RTS-12.18,1,26/09/18,12:16,115070.0000000,115100.0000000,115050.0000000,115100.0000000,370
SPFB.RTS-12.18,1,26/09/18,12:17,115090.0000000,115160.0000000,115090.0000000,115150.0000000,485
SPFB.RTS-12.18,1,26/09/18,12:18,115160.0000000,115230.0000000,115140.0000000,115210.0000000,1014
SPFB.RTS-12.18,1,26/09/18,12:19,115210.0000000,115230.0000000,115170.0000000,115200.0000000,554
SPFB.RTS-12.18,1,26/09/18,12:20,115190.0000000,115200.0000000,115160.0000000,115180.0000000,213
SPFB.RTS-12.18,1,26/09/18,12:21,115180.0000000,115180.0000000,115110.0000000,115150.0000000,631
SPFB.RTS-12.18,1,26/09/18,12:22,115150.0000000,115150.0000000,115070.0000000,115070.0000000,599
SPFB.RTS-12.18,1,26/09/18,12:23,115080.0000000,115080.0000000,114950.0000000,114960.0000000,1484
